date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:15%20GMT	http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230743842735055&target=F8nEVnV2LHdZiIqsmNReseJwc1p4iJZylnvmdxC%2BrXETmeTnluUxDkXss%2F5GTfmeGp60YWb3TrgQ8HqJErTAMabmB8NNIyru8GzkDvrTL%2FrFigbamxyYyjLC%2FiL%2FvPAWNA%3D%3D&iv=E%2BBqhxnpmPdZpb6u	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/indexf974.html	(from https://yqjh-auto.my.canva.site/)
12:08:15	2104/2104	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2001%20Apr%202023%2004:08:13%20GMT	https://yqjh-auto.my.canva.site/images/82ca36770005b7351e28866a8e56be82.svg	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/images/82ca36770005b7351e28866a8e56be82.svg	(from https://yqjh-auto.my.canva.site/)
12:08:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:15%20GMT	http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230743842735055&target=coAgHVMIG2HSv71IbhOQ2so1%2BaQxizQDMEJOGqjVh9T4ouN4%2FagvdPjYaKn637d4Oo71We8YKBEKuemw1rFrQHAoPZax7O8Pwj73t0ikAGb8C3w2iCh2oiJAFKHTuE3U8g%3D%3D&iv=6SSwAZTBD1FLpHBy	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/index7f71.html	(from https://yqjh-auto.my.canva.site/)
12:08:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:15%20GMT	http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fforms.gle%2FjtBgpF2Pi7MrpQ8D9&target=roDryytLJgPNCBN2FILK3HSJ0%2B1xxeN145r80CobIFfZ9F8j0qgygQ8lNdTxkUtAMkiGPbvoKl9zonCv6r2a4fS6oD%2BsxybcxrNy3cEjN4RfoL%2BT6KrPvUKf%2FKM%3D&iv=R%2FTsBGOUfS5y8FV3	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/indexf789.html	(from https://yqjh-auto.my.canva.site/)
12:08:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:15%20GMT	http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230753177204452&target=fVHSoEKH%2FyKZwbjJLf6hsuv5F%2Bjmta3yQPiujSu3xgaACRmzQay0UrnY3dvpj51IXZ5BDvDGjWhjQmzkfBr5AwB9RrY9e5flKlxon0iHMN6ohLX3JNhoshkMhHDEfA2XRw%3D%3D&iv=o9fl3t6KwajfF1UO	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/index1ef2.html	(from https://yqjh-auto.my.canva.site/)
12:08:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:16%20GMT	http://yqjh-auto.my.canva.site/robots.txt		(from https://yqjh-auto.my.canva.site/)
12:08:17	230/230	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Apr%202023%2004:08:16%20GMT	https://yqjh-auto.my.canva.site/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	(from https://yqjh-auto.my.canva.site/)
12:08:18	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:08:17%20GMT	https://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fwww.instagram.com%2Fyqjh.auto%2F%26target=B%2FI2R6VbyL%2Bvd%2BPgewr0nbkdL4YJVf3hbUaR10GeUDWy4vJ7eCsVvX7HC4LD6kzqLJN6MnI%2BcnuiWPklf24F4TXT64ttxaVPexRyq%2BpLs5n%2FEn447Ox5sRkEwIPm%26iv=%2FCcnaz%2Bra5aFTfN%2B	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/index59be.html	(from http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fwww.instagram.com%2Fyqjh.auto%2F&target=B%2FI2R6VbyL%2Bvd%2BPgewr0nbkdL4YJVf3hbUaR10GeUDWy4vJ7eCsVvX7HC4LD6kzqLJN6MnI%2BcnuiWPklf24F4TXT64ttxaVPexRyq%2BpLs5n%2FEn447Ox5sRkEwIPm&iv=%2FCcnaz%2Bra5aFTfN%2B)
12:08:19	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:08:17%20GMT	https://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230743842735055%26target=F8nEVnV2LHdZiIqsmNReseJwc1p4iJZylnvmdxC%2BrXETmeTnluUxDkXss%2F5GTfmeGp60YWb3TrgQ8HqJErTAMabmB8NNIyru8GzkDvrTL%2FrFigbamxyYyjLC%2FiL%2FvPAWNA%3D%3D%26iv=E%2BBqhxnpmPdZpb6u	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/indexac5d.html	(from http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230743842735055&target=F8nEVnV2LHdZiIqsmNReseJwc1p4iJZylnvmdxC%2BrXETmeTnluUxDkXss%2F5GTfmeGp60YWb3TrgQ8HqJErTAMabmB8NNIyru8GzkDvrTL%2FrFigbamxyYyjLC%2FiL%2FvPAWNA%3D%3D&iv=E%2BBqhxnpmPdZpb6u)
12:08:20	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:08:18%20GMT	https://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fyqjh-auto.my.canva.site%2Flist%26target=gyVMa3Ol4OegZjdYXnxkRgSUdw3B6rnIFAku3DftDr5o%2BtQaDRY%2F0R4UAXwl8%2F%2B27ICKBqTuZCZIhEsWK0HQhK25IJN4qDKISPXYpn0YCQAOdxHliE%2FYICCEKon%2B%26iv=2%2BGnArAqR3iveyxs	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/index1412.html	(from http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fyqjh-auto.my.canva.site%2Flist&target=gyVMa3Ol4OegZjdYXnxkRgSUdw3B6rnIFAku3DftDr5o%2BtQaDRY%2F0R4UAXwl8%2F%2B27ICKBqTuZCZIhEsWK0HQhK25IJN4qDKISPXYpn0YCQAOdxHliE%2FYICCEKon%2B&iv=2%2BGnArAqR3iveyxs)
12:08:20	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:08:18%20GMT	https://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fyqjh-auto.my.canva.site%2F404%26target=%2Fm0Te2x6HyulajRAkEMqeO19zkd8%2FB4wQ8CvUD%2FdD2hGSkdqPi7FFZl8Wmln%2BBSfcsCkjP%2FO0eEuL6ouCcoRbnc6k7dYu2iRg%2BSJUJETSbfjki9881x4gSSq9m8%3D%26iv=we8QIZGzZWuSpBxg	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/indexc418.html	(from http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fyqjh-auto.my.canva.site%2F404&target=%2Fm0Te2x6HyulajRAkEMqeO19zkd8%2FB4wQ8CvUD%2FdD2hGSkdqPi7FFZl8Wmln%2BBSfcsCkjP%2FO0eEuL6ouCcoRbnc6k7dYu2iRg%2BSJUJETSbfjki9881x4gSSq9m8%3D&iv=we8QIZGzZWuSpBxg)
12:08:20	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:08:18%20GMT	https://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230743842735055%26target=coAgHVMIG2HSv71IbhOQ2so1%2BaQxizQDMEJOGqjVh9T4ouN4%2FagvdPjYaKn637d4Oo71We8YKBEKuemw1rFrQHAoPZax7O8Pwj73t0ikAGb8C3w2iCh2oiJAFKHTuE3U8g%3D%3D%26iv=6SSwAZTBD1FLpHBy	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/index9044.html	(from http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230743842735055&target=coAgHVMIG2HSv71IbhOQ2so1%2BaQxizQDMEJOGqjVh9T4ouN4%2FagvdPjYaKn637d4Oo71We8YKBEKuemw1rFrQHAoPZax7O8Pwj73t0ikAGb8C3w2iCh2oiJAFKHTuE3U8g%3D%3D&iv=6SSwAZTBD1FLpHBy)
12:08:20	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:08:19%20GMT	https://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fforms.gle%2FjtBgpF2Pi7MrpQ8D9%26target=roDryytLJgPNCBN2FILK3HSJ0%2B1xxeN145r80CobIFfZ9F8j0qgygQ8lNdTxkUtAMkiGPbvoKl9zonCv6r2a4fS6oD%2BsxybcxrNy3cEjN4RfoL%2BT6KrPvUKf%2FKM%3D%26iv=R%2FTsBGOUfS5y8FV3	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/indexda38.html	(from http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fforms.gle%2FjtBgpF2Pi7MrpQ8D9&target=roDryytLJgPNCBN2FILK3HSJ0%2B1xxeN145r80CobIFfZ9F8j0qgygQ8lNdTxkUtAMkiGPbvoKl9zonCv6r2a4fS6oD%2BsxybcxrNy3cEjN4RfoL%2BT6KrPvUKf%2FKM%3D&iv=R%2FTsBGOUfS5y8FV3)
12:08:20	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:08:20%20GMT	https://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230753177204452%26target=fVHSoEKH%2FyKZwbjJLf6hsuv5F%2Bjmta3yQPiujSu3xgaACRmzQay0UrnY3dvpj51IXZ5BDvDGjWhjQmzkfBr5AwB9RrY9e5flKlxon0iHMN6ohLX3JNhoshkMhHDEfA2XRw%3D%3D%26iv=o9fl3t6KwajfF1UO	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/index29dc.html	(from http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fform.jotform.com%2F230753177204452&target=fVHSoEKH%2FyKZwbjJLf6hsuv5F%2Bjmta3yQPiujSu3xgaACRmzQay0UrnY3dvpj51IXZ5BDvDGjWhjQmzkfBr5AwB9RrY9e5flKlxon0iHMN6ohLX3JNhoshkMhHDEfA2XRw%3D%3D&iv=o9fl3t6KwajfF1UO)
